payment_method_id,method_name,provider,account_number,expiry_date
2013,Debit Card,Amazon Pay,8508-8622-2671-4901,6/12/2019
3602,Cash,Visa,1493-6836-8342-0679,6/6/2022
7250,Bank Transfer,MasterCard,9706-3525-3816-8832,6/14/2017
4723,Cash,Amazon Pay,0886-2814-7442-7764,12/31/2022
7755,PayPal,Amazon Pay,5112-7146-5642-8556,5/28/2020
8053,Debit Card,MasterCard,7585-5543-4886-4727,8/26/2021
1347,Bank Transfer,PayPal,0214-4725-3636-7072,5/17/2018
1807,Cash,Visa,2498-8921-5724-2394,10/26/2025
3173,Bank Transfer,Amazon Pay,9696-7015-4754-3694,2/11/2015
5189,Bank Transfer,Visa,8556-8266-4330-6916,7/27/2015
7303,PayPal,Visa,9710-3284-0089-9750,7/5/2022
1831,Cash,PayPal,6278-3227-3296-5247,3/28/2024
4592,Bank Transfer,Venmo,0679-0132-7780-8572,1/16/2015
4783,Debit Card,MasterCard,8322-5638-8881-4289,10/9/2016
6686,Debit Card,Google Pay,2587-5745-5803-6583,5/12/2018
3115,Debit Card,PayPal,6789-5501-4068-2177,9/26/2025
3842,Bank Transfer,Stripe,1634-7811-6070-0751,9/14/2025
2813,Cash,Visa,9506-4741-8455-5395,5/11/2025
2333,Bank Transfer,Visa,6313-0393-4689-3667,7/8/2015
4229,Credit Card,Google Pay,7726-4415-8272-6750,1/2/2019
5228,Credit Card,Cash,6261-9031-7957-5895,9/30/2019
1098,PayPal,MasterCard,2829-5464-8975-8187,12/23/2018
2073,Credit Card,Square,0603-7247-4064-8356,5/20/2024
2428,Bank Transfer,Cash,4964-9682-6313-1236,5/31/2018
8626,Cash,MasterCard,3516-3785-7888-2604,1/28/2017
3083,Cash,Apple Pay,4541-7916-8901-4423,1/27/2020
5800,Bank Transfer,Venmo,6030-2794-9348-5395,1/14/2017
8254,Credit Card,Visa,4653-3917-5563-8934,9/6/2015
8640,Cash,Amazon Pay,7479-2647-3403-7092,6/12/2025
8931,Credit Card,Stripe,0793-1533-8326-9212,1/21/2015
7013,Cash,Venmo,9252-0595-8935-3706,5/20/2023
1993,PayPal,Venmo,7051-1009-5128-1492,5/8/2016
9338,PayPal,Venmo,9373-5524-9897-6189,9/30/2022
2440,Debit Card,Cash,1284-0964-5984-5117,2/27/2022
4206,Bank Transfer,Visa,8290-5763-4519-0345,1/30/2015
3434,Bank Transfer,Amazon Pay,0194-5707-3029-2615,10/7/2025
6860,PayPal,Stripe,4058-6572-0803-5732,11/24/2020
7814,PayPal,Visa,7404-2960-3555-0837,10/22/2024
2121,Bank Transfer,Venmo,6331-3858-9236-2486,6/16/2022
8244,Cash,Apple Pay,5079-8342-4791-5466,11/27/2018
9382,Credit Card,Stripe,7169-5183-9260-5926,11/22/2023
2035,Credit Card,Square,0414-6765-1558-4760,2/1/2022
4004,Debit Card,Amazon Pay,0088-4926-8725-9934,3/3/2019
6244,PayPal,Square,4979-9396-1214-4933,2/16/2016
4110,Bank Transfer,Visa,6837-0532-9346-3812,11/22/2019
2824,PayPal,PayPal,9412-3761-3469-6364,4/25/2016
9829,Debit Card,Square,5630-2390-8879-4177,8/19/2016
1722,Bank Transfer,Cash,7748-8893-1764-4283,11/1/2022
7679,Credit Card,Square,9510-8695-9666-3411,11/13/2021
6214,Credit Card,Google Pay,7546-0245-0483-5728,1/5/2023
8930,Debit Card,Venmo,9962-1877-3987-2853,7/15/2024
9626,Credit Card,Stripe,5883-2596-2094-3761,1/31/2019
8023,PayPal,Visa,8289-9062-7794-4009,8/2/2015
9406,Bank Transfer,Venmo,0358-2468-5506-8934,1/3/2021
5171,Debit Card,PayPal,8972-3175-8180-8525,1/29/2023
2937,Cash,Stripe,2656-6762-2154-3061,2/2/2019
2307,PayPal,MasterCard,3322-1878-2523-9111,4/10/2019
7544,Credit Card,Google Pay,9315-7436-4283-7513,11/29/2021
1838,Debit Card,Venmo,5405-1604-4032-0831,9/9/2024
2548,Credit Card,Visa,0465-1637-6898-7324,7/13/2020
9387,PayPal,PayPal,3377-0629-5361-2125,11/13/2016
4109,Credit Card,Cash,1799-9786-9828-3778,11/15/2019
5368,Debit Card,Amazon Pay,6983-2443-1518-6591,9/22/2017
2085,Credit Card,Google Pay,4819-7808-6722-1624,11/30/2022
7450,PayPal,Square,3635-7284-4050-6208,1/7/2019
2865,Debit Card,Amazon Pay,5489-4009-4770-5540,5/17/2016
1224,Cash,Venmo,7695-8523-6368-4105,7/16/2022
5187,PayPal,Square,8131-7498-5565-2775,1/20/2019
2067,Credit Card,Cash,5858-0647-4541-3419,10/5/2024
3713,Cash,Amazon Pay,1437-9724-0026-1718,7/1/2020
8605,PayPal,PayPal,4768-8845-2467-6323,1/1/2023
7996,Bank Transfer,Apple Pay,0348-5097-8451-1915,7/3/2024
8188,Debit Card,Cash,5278-0086-4653-9665,8/4/2025
6457,Bank Transfer,Stripe,7992-0936-4301-5435,8/24/2023
5405,Cash,Square,6481-4722-6155-0722,7/7/2016
9682,PayPal,Apple Pay,9564-4299-8200-9665,11/5/2019
5380,Bank Transfer,MasterCard,0786-3606-3118-8375,2/27/2023
1355,Bank Transfer,Stripe,8468-6233-5304-6055,1/24/2021
6150,Credit Card,Visa,6784-0287-4885-4371,5/1/2022
9461,Bank Transfer,MasterCard,7616-0870-9529-8542,11/20/2019
3734,PayPal,Square,6063-8576-3348-3884,6/30/2019
3033,Cash,Apple Pay,0540-0934-2650-2118,11/24/2022
9398,Credit Card,Venmo,1046-4241-6773-1751,4/2/2024
2055,PayPal,Stripe,7907-6042-6395-0993,4/25/2018
5270,PayPal,Google Pay,4887-5962-9505-6247,5/29/2019
3290,PayPal,Amazon Pay,6609-0073-2663-4064,2/9/2023
3698,PayPal,Apple Pay,5567-3902-2377-4916,4/16/2019
3834,Credit Card,Amazon Pay,1976-3697-4230-5525,8/28/2020
2979,Bank Transfer,Square,9394-7788-5194-2588,4/6/2016
7781,Credit Card,Venmo,4642-6511-3493-1353,11/21/2022
4182,Credit Card,Amazon Pay,3624-2245-0232-3071,8/5/2021
7802,Credit Card,Square,4830-7941-7086-9951,1/20/2018
5317,Credit Card,Amazon Pay,1216-4052-8202-1429,4/3/2018
8353,Bank Transfer,PayPal,7315-7165-0407-1402,12/3/2024
7362,PayPal,Stripe,2604-0277-3956-4039,2/15/2025
7559,Credit Card,Cash,5865-4742-0789-6815,12/10/2015
2991,Credit Card,Square,6098-5334-6292-4611,3/23/2019
4432,Debit Card,Apple Pay,7820-7793-3072-5747,7/27/2019
2846,Cash,MasterCard,5735-3621-3172-8708,6/29/2017
6693,PayPal,MasterCard,2016-6593-4416-8243,1/5/2024
8018,Debit Card,Visa,1033-1982-8952-0768,10/11/2021
7795,Cash,PayPal,3728-1914-6175-2174,3/9/2020
5916,Bank Transfer,Apple Pay,4855-9553-6147-8869,12/8/2016
2373,PayPal,Square,5916-9638-7354-5272,12/21/2025
1401,Debit Card,Cash,0539-6821-9196-6496,10/23/2022
8528,Bank Transfer,Visa,4592-5141-2911-5685,10/2/2023
4205,Debit Card,Square,6308-6483-4710-3397,1/24/2015
7725,PayPal,Stripe,5171-6283-0399-7860,8/25/2018
9351,Cash,Stripe,1545-2592-0082-5735,5/12/2023
2863,Credit Card,Google Pay,0298-7705-2137-0348,10/14/2022
6114,Cash,PayPal,8649-4607-4435-9762,9/15/2018
6794,PayPal,Google Pay,2356-1401-1132-6110,6/12/2023
9629,Debit Card,Google Pay,0258-9237-8536-9783,5/16/2025
4984,Bank Transfer,Apple Pay,8268-0844-0766-7238,2/17/2024
8311,PayPal,Square,2114-8361-9951-9237,9/8/2018
2698,Cash,Stripe,3311-6734-4925-0237,9/14/2018
1603,Debit Card,Stripe,1491-2009-7385-2294,8/13/2016
7405,Credit Card,PayPal,3015-3391-8258-7098,6/20/2017
3474,Debit Card,Square,2965-3630-9533-1219,3/21/2023
4044,Credit Card,Stripe,1546-8904-6670-8501,9/23/2021
4288,Cash,Google Pay,0070-3094-8975-7194,3/6/2016
8863,Credit Card,PayPal,9174-8677-0972-8759,12/17/2016
3136,Bank Transfer,Cash,8776-0176-9191-7849,6/25/2015
3380,Cash,Venmo,5245-4990-5707-1860,11/25/2022
1217,Debit Card,Stripe,4095-8864-0643-0032,7/26/2021
9089,Bank Transfer,Square,7206-0631-1828-5564,4/23/2023
